Location,Base,Off_July_20,E21,E22,E23,Diff_23-20,percent_change_23over20
".Medina County, Texas",50746,50952,52328,53657,54797,3845,7.576951877980531
".Wakulla County, Florida",33763,33893,34270,35169,36449,2556,7.570417320735717
".Sarasota County, Florida",434010,436237,448636,462552,469013,32776,7.551899725812769
".Edgefield County, South Carolina",25645,25671,26274,26959,27607,1936,7.549229869370247
".Ravalli County, Montana",44171,44411,46084,47177,47738,3327,7.532091191052953
".Santa Rosa County, Florida",187999,189011,193750,198199,203162,14151,7.527167697700519
".Jefferson County, Montana",12082,12142,12468,12831,13048,906,7.498758483694752
".Hancock County, Indiana",79838,80180,81891,83117,86166,5986,7.497682807685563
".Llano County, Texas",21248,21290,22056,22623,22875,1585,7.459525602409639
".Lincoln County, Washington",10878,10928,11284,11613,11738,810,7.446221731936017
".Madison County, Arkansas",16519,16545,16944,17463,17775,1230,7.445971305769114
".Somervell County, Texas",9205,9205,9477,9797,9888,683,7.419880499728408
".Polk County, Texas",50125,50503,51877,53256,54186,3683,7.347630922693267
".Nye County, Nevada",51588,51963,53324,54769,55720,3757,7.282701403427154
".Marshall County, Tennessee",34327,34475,35059,35857,36961,2486,7.242112622716812
".Jefferson County, Florida",14513,14399,14494,15069,15450,1051,7.241783228829325
".Matanuska-Susitna Borough, Alaska",107068,107504,110998,113472,115239,7735,7.224380767362798
".Lampasas County, Texas",21629,21705,22224,22790,23262,1557,7.1986684543899395
".Collier County, Florida",375760,377310,387226,397516,404310,27000,7.185437513306366
".Wahkiakum County, Washington",4424,4448,4586,4688,4765,317,7.165461121157324
".Kootenai County, Idaho",171363,172785,180058,183290,185010,12225,7.133978746870678
".Union County, North Carolina",238234,239470,244259,249172,256452,16982,7.128285635131845
".Van Zandt County, Texas",59543,59758,61253,62888,64000,4242,7.124263137564449
".Camden County, North Carolina",10357,10408,10821,11090,11137,729,7.0387177754175925
".Boone County, Indiana",70809,71137,73080,74309,76120,4983,7.037241028682795
".Teton County, Idaho",11631,11735,12273,12519,12549,814,6.998538388788582
".Rutherford County, Tennessee",341483,343298,351194,360682,367101,23803,6.970478764682284
".Meigs County, Tennessee",12755,12808,13019,13258,13691,883,6.922775382203057
".Cherokee County, Georgia",266594,268156,274732,281194,286602,18446,6.919135464414053
".Brazoria County, Texas",372035,373493,379121,388234,398938,25445,6.839410270539062
".Valley County, Idaho",11744,11842,12256,12450,12644,802,6.829019073569483
".Hall County, Georgia",202889,203473,207080,212621,217267,13794,6.798791457397887
".Tyrrell County, North Carolina",3249,3241,3379,3473,3461,220,6.7713142505386275
".Butte County, Idaho",2576,2584,2666,2698,2758,174,6.754658385093168
".Haralson County, Georgia",29917,30036,30595,31355,32038,2002,6.691847444596717
".Lake County, Montana",31142,31258,32090,32853,33338,2080,6.679082910538822
".Rains County, Texas",12151,12175,12463,12836,12986,811,6.674347790305325
".Payette County, Idaho",25389,25590,26386,26929,27279,1689,6.652487297648587
".Logan County, Oklahoma",49545,49736,50900,51924,53029,3293,6.646482995256838
".Moore County, North Carolina",99745,100296,103044,105491,106898,6602,6.6188781392551
".Kershaw County, South Carolina",65409,65590,66205,67850,69905,4315,6.596951489856136
".Douglas County, Colorado",357998,360323,369783,375937,383906,23583,6.587466969089213
".Cache County, Utah",133158,133631,137458,140145,142393,8762,6.580152901064901
".Rich County, Utah",2513,2505,2600,2649,2670,165,6.565857540787904
".Wright County, Minnesota",141349,141883,145204,148118,151150,9267,6.556112883713363
".Wright County, Missouri",18188,18213,18621,19143,19403,1190,6.5427754563448435
".King George County, Virginia",26724,26826,27541,27918,28568,1742,6.518485256698099
".Hamilton County, Indiana",347469,348996,357620,365463,371645,22649,6.5182793285156375
".Clay County, North Carolina",11084,11142,11375,11615,11864,722,6.513893901118729
".Chatham County, North Carolina",76260,76664,78141,79939,81624,4960,6.504065040650407
".Hart County, Georgia",25829,25878,26319,26886,27556,1678,6.496573618800573
".Iredell County, North Carolina",186685,187683,192186,195874,199710,12027,6.442402978278919
".Newton County, Georgia",112527,112890,115341,117752,120135,7245,6.438454770854994
".Wood County, Texas",44849,45037,46076,46930,47921,2884,6.430466677071952
".Spotsylvania County, Virginia",140092,140604,144003,146828,149588,8984,6.4129286468891875
".Pend Oreille County, Washington",13400,13502,13891,14138,14361,859,6.41044776119403
".Carroll County, Georgia",119151,119498,121595,124530,127098,7600,6.378460944515782
".Madison County, Georgia",30128,30276,30887,31450,32191,1915,6.3562134891131175
".Fentress County, Tennessee",18487,18533,18835,19335,19696,1163,6.29090712392492
".Webster County, Missouri",39089,39013,39601,40366,41472,2459,6.290772340044513
".Jackson County, Tennessee",11617,11633,11771,12015,12363,730,6.283894292846689
".Shoshone County, Idaho",13168,13199,13615,13935,14026,827,6.280376670716889
".Morgan County, Georgia",20097,20201,20650,21024,21460,1259,6.264616609444196
".Bear Lake County, Idaho",6370,6367,6567,6730,6766,399,6.263736263736264
".Suffolk city, Virginia",94370,94750,96337,98426,100659,5909,6.261523789339833
".Coweta County, Georgia",146163,146747,149973,152879,155892,9145,6.256713395318925
".Volusia County, Florida",553537,555776,566368,579665,590357,34581,6.247278863020901
".King William County, Virginia",17811,17918,18243,18529,19030,1112,6.243332771882545
".Lincoln County, Wyoming",19582,19658,20173,20671,20880,1222,6.24042487999183
".Cass County, North Dakota",184517,184876,189377,192713,196362,11486,6.224900686657598
".Highlands County, Florida",101239,101349,103279,105649,107614,6265,6.188326633016921
".Clay County, Florida",218248,218951,222648,226634,232439,13488,6.180125361973535
".Hendricks County, Indiana",174778,175596,179800,183119,186387,10791,6.174118024007598
".Walker County, Texas",76406,76553,78348,79678,81268,4715,6.1709813365442505
".Lincoln County, Idaho",5127,5134,5285,5385,5450,316,6.163448410376438
".Sanpete County, Utah",28437,28526,29124,29691,30277,1751,6.157470900587263
".Catron County, New Mexico",3577,3606,3710,3793,3825,219,6.122448979591836
".Owyhee County, Idaho",11915,11996,12356,12645,12722,726,6.093159882501049
".Perry County, Tennessee",8382,8381,8493,8705,8891,510,6.084466714387974
".Fall River County, South Dakota",6969,6970,7213,7397,7393,423,6.069737408523461
".Macon County, Tennessee",25217,25267,25673,26214,26793,1526,6.051473212515367
".Aransas County, Texas",23829,23932,24510,24963,25374,1442,6.051449913970372
".Ouray County, Colorado",4880,4882,5063,5103,5176,294,6.024590163934426
".Williamson County, Tennessee",247724,249552,256065,260738,264460,14908,6.01798776057225
".Orange County, Virginia",36186,36397,37220,38055,38574,2177,6.016138838224728
".Lewis County, Idaho",3526,3527,3690,3725,3739,212,6.012478729438457
".Washington County, Arkansas",245866,246774,251767,256682,261549,14775,6.009370958164204
".Wasatch County, Utah",34782,35055,36246,36597,37144,2089,6.005980104651831
".Lemhi County, Idaho",7979,7962,8160,8284,8441,479,6.003258553703471
".Suwannee County, Florida",43472,43524,44125,45405,46130,2606,5.994663231505337
".Oglethorpe County, Georgia",14826,14869,15187,15531,15754,885,5.969243221367868
".Beaufort County, South Carolina",187106,187815,191997,196147,198979,11164,5.966671298622171
".Liberty County, Georgia",65271,65317,66800,67919,69210,3893,5.964363959491964
".Hill County, Texas",35870,35964,36378,37266,38101,2137,5.957624756063563
".Allen County, Kentucky",20580,20574,20839,21283,21788,1214,5.898931000971817
".Custer County, Idaho",4279,4271,4446,4518,4523,252,5.889226454779154
".Robertson County, Kentucky",2195,2184,2257,2247,2313,129,5.876993166287016
".Greenville County, South Carolina",525543,527249,534648,547845,558036,30787,5.858131494473335
".Keya Paha County, Nebraska",769,760,796,805,805,45,5.851755526657997
".Indian River County, Florida",159791,160446,163869,167267,169795,9349,5.850767565131953
".Lyon County, Kentucky",8685,8679,8435,9099,9187,508,5.84916522740357
".Glades County, Florida",12128,12078,12266,12463,12786,708,5.8377308707124005
".Warren County, Missouri",35528,35732,36551,37290,37806,2074,5.837649178113038
".Benton County, Missouri",19392,19422,19934,20233,20552,1130,5.827145214521452
".Uintah County, Utah",35612,35672,36229,37104,37747,2075,5.826687633382006
".Camden County, Georgia",54772,54931,55786,56971,58118,3187,5.818666471919959
".Chaffee County, Colorado",19476,19484,19741,20265,20617,1133,5.817416307249949
".Fremont County, Idaho",13387,13419,13591,14017,14196,777,5.804138343168746
".Brevard County, Florida",606621,608775,617900,630707,643979,35204,5.803293984217493
".Pennington County, South Dakota",109226,109566,111886,114306,115903,6337,5.801732188306814
".Christian County, Missouri",88841,89285,91616,93122,94422,5137,5.782240181897998
".Harnett County, North Carolina",133571,133757,135586,138478,141477,7720,5.77969768886959
".Kendall County, Illinois",131868,132355,135015,137494,139976,7621,5.7792641125974455
".Crook County, Wyoming",7176,7178,7308,7419,7592,414,5.769230769230769
".Lee County, North Carolina",63280,63434,64052,65543,67059,3625,5.7285082174462705
".Archuleta County, Colorado",13355,13424,13806,13989,14189,765,5.728191688506177
".Gallatin County, Montana",118958,119597,123098,124938,126409,6812,5.726390827014577
